Plumas County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198708,0.00,-0.27
198709,0.04,-0.80
198710,0.77,-1.59
198711,2.20,-2.66
198712,8.86,2.23
198801,5.61,-2.15
198802,0.52,-6.21
198803,0.91,-4.76
198804,2.86,-0.07
198805,1.67,-0.35
198806,1.25,0.32
198807,0.43,0.21
198808,0.05,-0.22
198809,0.11,-0.73
198810,0.11,-2.25
198811,10.47,5.61
198812,4.13,-2.50
198901,2.38,-5.38
198902,2.98,-3.75
198903,14.92,9.25
198904,1.60,-1.33
198905,1.67,-0.35
198906,1.48,0.55
198907,0.00,-0.22
198908,0.85,0.58
198909,2.83,1.99
198910,5.77,3.41
198911,3.49,-1.37
198912,0.00,-6.63
199001,5.56,-2.20
199002,4.39,-2.34
199003,2.17,-3.50
199004,1.48,-1.45
199005,5.08,3.06
199006,0.35,-0.58
199007,0.33,0.11
199008,0.83,0.56
199009,0.82,-0.02
199010,1.06,-1.30
199011,1.47,-3.39
199012,1.43,-5.20
199101,0.54,-7.22
199102,2.28,-4.45
199103,14.55,8.88
199104,1.63,-1.30
199105,2.11,0.09
199106,0.88,-0.05
199107,0.59,0.37
199108,0.50,0.23
199109,0.30,-0.54
199110,2.25,-0.11
199111,2.36,-2.50
199112,3.29,-3.34
199201,1.90,-5.86
199202,7.53,0.80
199203,2.97,-2.70
199204,2.11,-0.82
199205,0.47,-1.55
199206,1.96,1.03
